match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,new_game,game_id,p1_momentum,p2_momentum,cal_m_1,cal_m_2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.0,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.661,4.341,1,0,1,1,1,1142,44.5,47.7481268731046,1.0,1.0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.006944444444444444,1,1,2,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.502,22.307,4,3,0,0,0,1142,47.7481268731046,45.5,0.9976633793673608,0.9981403536424475
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.021944444444444444,1,1,3,0,0,0,0,1,1,2,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.786,2.926,2,3,0,0,0,1142,51.485059758123015,45.5,0.992616399545951,0.9941235783795177
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.03805555555555556,1,1,4,0,0,0,0,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.907,4.209,1,4,1,0,0,1142,46.5,48.7481268731046,0.9871959954052321,0.9898094789856574
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.050555555555555555,1,1,5,0,0,0,0,2,2,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12.881,8.676,2,0,1,0,0,1142,49.7481268731046,47.15,0.9829910113866847,0.9864625859642048
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.06055555555555556,1,1,6,0,0,0,0,3,2,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.293,7.704,1,0,0,1,0,1142,50.0,49.7481268731046,0.9796274501833212,0.9837852863339627
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.06805555555555555,1,1,7,0,0,0,0,3,3,2,1,2,3,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.283,19.531,5,0,1,0,0,1142,47.5,53.78505975812301,0.9771050777183107,0.9817774620867283
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.07805555555555556,1,1,8,0,0,0,0,3,4,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.179,24.58,6,3,0,1,0,1142,50.7481268731046,48.5,0.9737423733422205,0.9791005944932337
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.10083333333333334,1,1,9,0,0,0,0,4,4,2,1,2,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.115,28.599,7,1,0,1,0,1142,48.85,51.7481268731046,0.9660852187160718,0.9730044643762418
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.11194444444444446,1,1,10,0,0,0,0,4,5,2,1,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.941,7.816,1,0,1,0,0,1142,48.5,59.38188941012068,0.9623514099034184,0.9700314427281558
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.1338888888888889,1,2,11,0,0,0,1,0,0,1,1,2,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.54,10.329,2,3,0,0,1,1143,48.85,63.19982651304931,0.9549803241155261,0.9641613325793389
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.1411111111111111,1,2,12,0,0,0,1,0,1,1,1,2,4,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.819,20.001,6,1,0,0,0,1143,48.5,66.88188941012068,0.9525554295324464,0.9622299185120047
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.15611111111111112,1,2,13,0,0,0,1,0,2,1,2,2,4,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.482,23.589,6,2,0,1,0,1143,48.85,69.52133980816691,0.9475209290599086,0.9582194381154794
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.1736111111111111,1,2,14,0,0,0,1,0,3,1,1,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.876,15.338,3,1,1,0,0,1143,51.7481268731046,61.0,0.9416507328305397,0.9535422544114219
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.1825,1,2,15,0,0,0,1,1,3,1,1,1,6,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.638,7.393,3,4,0,0,0,1143,55.485059758123015,61.0,0.938670564809878,0.95116730901255
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.1913888888888889,1,2,16,0,0,0,1,2,3,1,2,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21.88,18.532,4,3,0,1,0,1143,50.5,80.52133980816691,0.9356914898837648,0.9487929156705464
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.21250000000000002,1,3,17,0,0,0,2,0,0,2,1,2,6,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20.078,18.607,5,1,0,1,1,1144,51.15,69.98505975812301,0.9286208755087249,0.9431561000535176
